articles_count,country,coverage,population,quality_articles_count,relative_quality
320,Afghanistan,0.0008767123287671233,36500000.0,12,3.75
457,Albania,0.015758620689655174,2900000.0,3,0.6564551422319475
116,Algeria,0.00027166276346604217,42700000.0,2,1.7241379310344827
34,Andorra,0.042499999999999996,80000.0,0,0.0
106,Angola,0.00034868421052631577,30400000.0,0,0.0
24,Antigua and Barbuda,0.024,100000.0,0,0.0
491,Argentina,0.0011033707865168538,44500000.0,12,2.4439918533604885
195,Armenia,0.0065,3000000.0,5,2.564102564102564
1561,Australia,0.0064771784232365145,24100000.0,39,2.498398462524023
333,Austria,0.003784090909090909,8800000.0,3,0.9009009009009009
179,Azerbaijan,0.001808080808080808,9900000.0,1,0.5586592178770949
20,Bahamas,0.005,400000.0,0,0.0
42,Bahrain,0.0028,1500000.0,1,2.380952380952381
319,Bangladesh,0.00019170673076923078,166400000.0,3,0.9404388714733543
14,Barbados,0.004666666666666666,300000.0,0,0.0
72,Belarus,0.0007578947368421053,9500000.0,2,2.7777777777777777
520,Belgium,0.004561403508771929,11400000.0,1,0.19230769230769232
16,Belize,0.004,400000.0,0,0.0
91,Benin,0.000791304347826087,11500000.0,7,7.6923076923076925
33,Bhutan,0.004125,800000.0,3,9.090909090909092
183,Bolivia,0.0016194690265486724,11300000.0,2,1.092896174863388
170,Bosnia-Herzegovina,0.004857142857142857,3500000.0,5,2.941176470588235
66,Botswana,0.003,2200000.0,1,1.5151515151515151
547,Brazil,0.0002612225405921681,209400000.0,6,1.0968921389396709
223,Bulgaria,0.003185714285714286,7000000.0,2,0.8968609865470852
95,Burkina Faso,0.00046798029556650243,20300000.0,3,3.1578947368421053
75,Burundi,0.000635593220338983,11800000.0,2,2.666666666666667
213,Cambodia,0.00133125,16000000.0,4,1.8779342723004695
103,Cameroon,0.00040234375000000003,25600000.0,0,0.0
843,Canada,0.0022661290322580647,37200000.0,22,2.6097271648873073
37,Cape Verde,0.006166666666666667,600000.0,0,0.0
66,Central African Republic,0.001404255319148936,4700000.0,8,12.121212121212121
97,Chad,0.0006298701298701299,15400000.0,2,2.0618556701030926
348,Chile,0.001870967741935484,18600000.0,3,0.8620689655172413
1130,China,8.107332472377673e-05,1393800000.0,41,3.6283185840707963
285,Colombia,0.0005722891566265061,49800000.0,1,0.3508771929824561
51,Comoros,0.0063750000000000005,800000.0,0,0.0
147,Congo,0.0027222222222222222,5400000.0,1,0.6802721088435374
147,Costa Rica,0.00294,5000000.0,0,0.0
164,Croatia,0.004,4099999.9999999995,3,1.8292682926829267
172,Cuba,0.0015495495495495494,11100000.0,2,1.1627906976744187
97,Cyprus,0.008083333333333333,1200000.0,1,1.0309278350515463
287,Denmark,0.004948275862068966,5800000.0,3,1.0452961672473868
37,Djibouti,0.0036999999999999997,1000000.0,0,0.0
12,Dominica,0.017142857142857144,70000.0,1,8.333333333333332
64,Dominican Republic,0.0005925925925925926,10800000.0,1,1.5625
183,Ecuador,0.0010764705882352942,17000000.0,2,1.092896174863388
235,Egypt,0.0002422680412371134,97000000.0,9,3.829787234042553
30,Equatorial Guinea,0.0023076923076923075,1300000.0,1,3.3333333333333335
16,Eritrea,0.0002666666666666667,6000000.0,0,0.0
149,Estonia,0.01146153846153846,1300000.0,0,0.0
101,Ethiopia,9.395348837209302e-05,107500000.0,2,1.9801980198019802
36,Federated States of Micronesia,0.036000000000000004,100000.0,0,0.0
197,Fiji,0.02188888888888889,900000.0,1,0.5076142131979695
569,Finland,0.010345454545454545,5500000.0,0,0.0
1681,France,0.0025821812596006147,65099999.99999999,23,1.3682331945270672
97,Gabon,0.004619047619047619,2100000.0,4,4.123711340206185
82,Gambia,0.0037272727272727275,2200000.0,5,6.097560975609756
688,Germany,0.0008309178743961353,82800000.0,13,1.88953488372093
391,Ghana,0.0013254237288135593,29500000.0,5,1.278772378516624
308,Greece,0.0029056603773584904,10600000.0,7,2.272727272727273
36,Grenada,0.036000000000000004,100000.0,1,2.7777777777777777
