article_name,country,revision_id,article_quality,population
Bir I of Kanem,Chad,355319463.0,Stub,15400000.0
Abdullah II of Kanem,Chad,498683267.0,Stub,15400000.0
Salmama II of Kanem,Chad,565745353.0,Stub,15400000.0
Kuri I of Kanem,Chad,565745365.0,Stub,15400000.0
Mohammed I of Kanem,Chad,565745375.0,Stub,15400000.0
Kuri II of Kanem,Chad,669719757.0,Stub,15400000.0
Bir II of Kanem,Chad,670893206.0,Stub,15400000.0
Mahamat Hissene,Chad,693055898.0,Stub,15400000.0
Othman I,Chad,705432607.0,Stub,15400000.0
Alphonse Kotiga,Chad,707593108.0,Stub,15400000.0
Oueddei Kichidemi,Chad,708346649.0,Start,15400000.0
Dunama I,Chad,710675092.0,Stub,15400000.0
Ahmad (Kanem-Bornu king),Chad,711388267.0,Stub,15400000.0
Djibrine Kerallah,Chad,712971263.0,Stub,15400000.0
Maurice Ngangtar,Chad,712971315.0,Stub,15400000.0
Idriss Miskine,Chad,712971738.0,Stub,15400000.0
Laoukein Kourayo Médard,Chad,716886170.0,Stub,15400000.0
Nadji Madou,Chad,716886788.0,Stub,15400000.0
Noël Milarew Odingar,Chad,716891799.0,Start,15400000.0
Yaya Dillo Djérou,Chad,717733209.0,Stub,15400000.0
Acheikh Ibn-Oumar,Chad,719821590.0,Start,15400000.0
Quatre Sou Quatre,Chad,720066754.0,Stub,15400000.0
Ali Gazi,Chad,722563340.0,Stub,15400000.0
Mahamat Djarma Khatir,Chad,725132042.0,Stub,15400000.0
Dunama IX Lefiami,Chad,731749611.0,Stub,15400000.0
Dawud of Kanem,Chad,736550266.0,Stub,15400000.0
Ahmed Koulamallah,Chad,738855197.0,Start,15400000.0
Abbo Nassour,Chad,741369486.0,C,15400000.0
Abdel Kader Baba-Laddé,Chad,742213176.0,Stub,15400000.0
Hummay,Chad,747271475.0,Stub,15400000.0
Ngarlejy Yorongar,Chad,751304544.0,C,15400000.0
Saleh Kezabo,Chad,751380073.0,Stub,15400000.0
Bourkou Louise Kabo,Chad,757072468.0,Start,15400000.0
Brahim Koulamallah,Chad,757802238.0,Stub,15400000.0
Saadie Goukouni Weddeye,Chad,757842614.0,Start,15400000.0
Mahamoud Adam Béchir,Chad,762579466.0,Start,15400000.0
Kalthouma Nguembang,Chad,762816132.0,Stub,15400000.0
Djidingar Dono Ngardoum,Chad,764133533.0,Stub,15400000.0
Youssouf Saleh Abbas,Chad,771052289.0,B,15400000.0
Koibla Djimasta,Chad,774223245.0,Start,15400000.0
Nassour Guelendouksia Ouaido,Chad,774223248.0,C,15400000.0
Joseph Brahim Seid,Chad,777478442.0,Stub,15400000.0
Joseph Yodoyman,Chad,777550078.0,Start,15400000.0
Antoine Bangui,Chad,782638002.0,Start,15400000.0
Ibrahim IV of Bornu,Chad,785614014.0,Stub,15400000.0
Hadjé Halimé,Chad,786449636.0,C,15400000.0
Youssouf Togoïmi,Chad,787390241.0,Start,15400000.0
Adoum Younousmi,Chad,787719236.0,Start,15400000.0
François Tombalbaye,Chad,787738541.0,C,15400000.0
Ahmat Hassaballah Soubiane,Chad,787910771.0,Stub,15400000.0
Ahmad Allam-Mi,Chad,787921293.0,Start,15400000.0
Laotegguelnodji Koumtog,Chad,788009613.0,Stub,15400000.0
Mahamat Ali Adoum,Chad,788014671.0,Start,15400000.0
Mahamat Saleh Annadif,Chad,788658822.0,Start,15400000.0
Mohamed Bechir-Sow,Chad,788827248.0,Stub,15400000.0
Gontchomé Sahoulba,Chad,788828388.0,Start,15400000.0
Gabriel Lisette,Chad,788828519.0,Start,15400000.0
Ali II of Bornu,Chad,788999424.0,Stub,15400000.0
Arabi El Goni,Chad,789126126.0,Stub,15400000.0
Dunama Dabbalemi,Chad,789935196.0,Start,15400000.0
Idris Alooma,Chad,792734868.0,Start,15400000.0
Mahamat Nouri,Chad,792954115.0,FA,15400000.0
Idriss Ndele Moussa,Chad,796654025.0,Start,15400000.0
Mbaydoum Simeon,Chad,796690873.0,Stub,15400000.0
Ngarindo Milengar,Chad,796700718.0,Stub,15400000.0
List of Prime Ministers of Chad,Chad,797747674.0,Start,15400000.0
Idriss Déby,Chad,798286150.0,C,15400000.0
Saleh Kebzabo,Chad,798626040.0,C,15400000.0
Moussa Faki,Chad,799043301.0,C,15400000.0
Kalzeubet Pahimi Deubet,Chad,799413193.0,Stub,15400000.0
Haroun Kabadi,Chad,799447895.0,Start,15400000.0
Nagoum Yamassoum,Chad,799447995.0,Start,15400000.0
Outel Bono,Chad,799448338.0,Start,15400000.0
Ahmat Acyl,Chad,799902492.0,C,15400000.0
Djimrangar Dadnadji,Chad,800133552.0,Start,15400000.0
Delwa Kassiré Koumakoye,Chad,801029539.0,C,15400000.0
Fidèle Moungar,Chad,801192255.0,C,15400000.0
Jean Alingué Bawoyeu,Chad,801192303.0,B,15400000.0
Emmanuel Nadingar,Chad,801573576.0,C,15400000.0
Roger Djikisna,Chad,801583221.0,Stub,15400000.0
Firmin Djidingar,Chad,801583260.0,Stub,15400000.0
Idris I of Kanem,Chad,802874918.0,Stub,15400000.0
Vice President of Chad,Chad,803166509.0,Stub,15400000.0
Hissène Habré,Chad,803166806.0,GA,15400000.0
Negue Djogo,Chad,803166989.0,Start,15400000.0
Wadel Abdelkader Kamougué,Chad,803167152.0,C,15400000.0
Félix Malloum,Chad,803167336.0,Start,15400000.0
Lol Mahamat Choua,Chad,803167424.0,C,15400000.0
Goukouni Oueddei,Chad,803167990.0,C,15400000.0
Albert Pahimi Padacké,Chad,803433107.0,C,15400000.0
List of heads of state of Chad,Chad,803812011.0,Start,15400000.0
Elise Loum,Chad,804773540.0,Start,15400000.0
Agnes Allafi,Chad,805493169.0,Start,15400000.0
Christine Georges Diguibaye,Chad,806337653.0,Stub,15400000.0
Pascal Yoadimnadji,Chad,806508985.0,Start,15400000.0
Aissa Koli,Chad,806616268.0,Start,15400000.0
Omar I of Kanem,Chad,807425129.0,Start,15400000.0
Yos Por,Cambodia,393822005.0,Stub,16000000.0
Than Sina,Cambodia,671073599.0,Stub,16000000.0
Ieu Pannakar,Cambodia,712085445.0,Stub,16000000.0
Taing Sunlay,Cambodia,713507166.0,Stub,16000000.0
Dul Koeun,Cambodia,714524609.0,Stub,16000000.0
Ly Kim Leang,Cambodia,714524624.0,Stub,16000000.0
Chhor Leang Huot,Cambodia,714524714.0,Stub,16000000.0
